;name;short_name;price;market_cap
1;Bitcoin;BTC;$30,123.62;$574,168,683,393
2;Ethereum;ETH;$2,028.23;$245,351,168,591
3;Tether;USDT;$0.9991;$74,130,942,658
4;USD Coin;USDC;$1.00;$52,852,534,898
5;BNB;BNB;$314.06;$51,279,054,077
6;XRP;XRP;$0.4213;$20,366,528,418
7;Binance USD;BUSD;$1.00;$18,598,725,787
8;Cardano;ADA;$0.5288;$17,848,908,150
9;Solana;SOL;$51.42;$17,438,608,553
10;Dogecoin;DOGE;$0.08595;$11,403,044,902
11;Polkadot;DOT;$9.95;$9,826,030,216
12;Wrapped Bitcoin;WBTC;$30,186.54;$8,349,684,818
13;Avalanche;AVAX;$30.75;$8,274,760,617
14;TRON;TRX;$0.07326;$7,117,158,860
15;Dai;DAI;$1.00;$6,548,131,927
16;Shiba Inu;SHIB;$0.00001181;$6,486,275,041
17;Polygon;MATIC;$0.6549;$5,207,066,175
18;Cronos;CRO;$0.1954;$4,936,175,913
19;Litecoin;LTC;$69.96;$4,920,202,996
20;UNUS SED LEO;LEO;$5.00;$4,772,918,356
21;FTX Token;FTT;$30.59;$4,169,818,040
22;NEAR Protocol;NEAR;$5.91;$4,087,370,732
23;Uniswap;UNI;$5.37;$3,862,474,776
24;Bitcoin Cash;BCH;$194.95;$3,717,440,817
25;Cosmos;ATOM;$11.96;$3,425,784,225
